model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x0000019CD6DF7AC0>,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.01, l2=3, 1000 iter, depth=5",0.5,0.5815,0.484,0.4,0.6126,0.5538,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7138D30>,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 4, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.01, l2=4, 1000 iter, depth=5",0.5,0.5865,0.4871,0.4125,0.5946,0.5723,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7138FA0>,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.01, l2=5, 1000 iter, depth=5",0.5,0.5895,0.4669,0.411,0.5405,0.5785,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD5FFBDF0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0001], 'eval_metric': 'AUC'}","weight=0.0001, lr=0.1, l2=5, 1000 iter, depth=5",0.5,0.7573,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6D6D250>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 6, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0001], 'eval_metric': 'AUC'}","weight=0.0001, lr=0.1, l2=6, 1000 iter, depth=5",0.5,0.762,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6FEB160>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0001], 'eval_metric': 'AUC'}","weight=0.0001, lr=0.1, l2=7, 1000 iter, depth=5",0.5,0.7491,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD713ADC0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0001], 'eval_metric': 'AUC'}","weight=0.0001, lr=0.1, l2=8, 1000 iter, depth=5",0.5,0.7474,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7131EB0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 9, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0001], 'eval_metric': 'AUC'}","weight=0.0001, lr=0.1, l2=9, 1000 iter, depth=5",0.5,0.7521,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7AD99A0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","weight=0.001, lr=0.1, l2=5, 1000 iter, depth=5",0.5,0.7682,0.0,0.0,0.0,0.6554,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6F1ACD0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 6, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","weight=0.001, lr=0.1, l2=6, 1000 iter, depth=5",0.5,0.7612,0.0,0.0,0.0,0.6554,False,0,0,0,0,0
